القطاع,الرمز,الاسم بالعربية,الاسم بالإنجليزية
الصناديق العقارية المتداولة,4331,الجزيرة ريت,Aljazira REIT
الصناديق العقارية المتداولة,4332,جدوى ريت الحرمين,Jadwa REIT Alharamain
الصناديق العقارية المتداولة,4333,تعليم ريت,Taleem REIT
الصناديق العقارية المتداولة,4334,المعذر ريت,Almaather REIT
الصناديق العقارية المتداولة,4335,مشاركة ريت,Musharaka REIT
الصناديق العقارية المتداولة,4336,ملكية ريت,Mulkia REIT
الصناديق العقارية المتداولة,4337,العزيزية ريت,SICO Saudi REIT
الصناديق العقارية المتداولة,4338,الأهلي ريت 1,Alahli REIT 1
الصناديق العقارية المتداولة,4339,دراية ريت,Derayah REIT
الصناديق العقارية المتداولة,4340,الراجحي ريت,Al Rajhi REIT
الصناديق العقارية المتداولة,4342,جدوى ريت السعودية,Jadwa REIT Saudi
الصناديق العقارية المتداولة,4344,سدكو كابيتال ريت,SEDCO Capital REIT
الصناديق العقارية المتداولة,4345,الإنماء ريت للتجزئة,Alinma Retail REIT
الصناديق العقارية المتداولة,4346,ميفك ريت,MEFIC REIT
الصناديق العقارية المتداولة,4347,بنيان ريت,Bonyan REIT
الصناديق العقارية المتداولة,4348,الخبير ريت,Alkhabeer REIT
الصناديق العقارية المتداولة,4349,الإنماء ريت الفندقي,الإنماء ريت الفندقي
الصناديق العقارية المتداولة,4350,الإستثمار ريت,الإستثمار ريت
إدارة وتطوير العقارات,4020,العقارية,Alakaria
إدارة وتطوير العقارات,4090,طيبة,Taiba
إدارة وتطوير العقارات,4100,مكة,Makkah Construction
إدارة وتطوير العقارات,4150,التعمير,Arriyadh Development
إدارة وتطوير العقارات,4220,إعمار,Emaar EC
إدارة وتطوير العقارات,4230,البحر الأحمر,Red Sea International
إدارة وتطوير العقارات,4250,جبل عمر,Jabal Omar
إدارة وتطوير العقارات,4300,دار الأركان,Dar Al Arkan
إدارة وتطوير العقارات,4310,مدينة المعرفة,مدينة المعرفة
إدارة وتطوير العقارات,4320,الأندلس,Alandalus
إدارة وتطوير العقارات,4321,سينومي سنترز,Cenomi Centers
إدارة وتطوير العقارات,4322,رتال,Retal
إدارة وتطوير العقارات,4323,سمو,Sumou
إدارة وتطوير العقارات,4324,بنان,بنان
إدارة وتطوير العقارات,4325,مسار,مسار
إدارة وتطوير العقارات,4326,الماجدية ,الماجدية 
إدارة وتطوير العقارات,4327,الرمز,الرمز
الإعلام والترفيه,4070,تهامة,Tiqniat
الإعلام والترفيه,4071,العربية,العربية
الإعلام والترفيه,4072,مجموعة إم بي سي,مجموعة إم بي سي
الإعلام والترفيه,4210,الأبحاث والإعلام,SRMG
الخدمات المالية,1111,مجموعة تداول,Tadawul Group
الخدمات المالية,1182,أملاك,Amlak
الخدمات المالية,1183,سهل,SHL Finance
الخدمات المالية,2140,أيان,Ayyan
الخدمات المالية,4081,النايفات,Nayifat
الخدمات المالية,4082,مرنة,مرنة
الخدمات المالية,4084,دراية,دراية
الخدمات المالية,4130,درب السعودية,Albaha
الخدمات المالية,4280,المملكة,Kingdom Holding
المنتجات المنزلية والشخصية,4165,الماجد للعود,الماجد للعود
تجزئة وتوزيع السلع الاستهلاكية,4001,أسواق ع العثيم,Al Othaim Markets
تجزئة وتوزيع السلع الاستهلاكية,4006,أسواق المزرعة,Farm Superstores
تجزئة وتوزيع السلع الاستهلاكية,4051,باعظيم,Baazeem
تجزئة وتوزيع السلع الاستهلاكية,4160,ثمار,Thimar
تجزئة وتوزيع السلع الاستهلاكية,4161,بن داود,BinDawood
تجزئة وتوزيع السلع الاستهلاكية,4162,المنجم,Almunajem Foods
تجزئة وتوزيع السلع الكمالية,4003,إكسترا,eXtra
تجزئة وتوزيع السلع الكمالية,4008,ساكو,SACO
تجزئة وتوزيع السلع الكمالية,4011,لازوردي,L'azurde
تجزئة وتوزيع السلع الكمالية,4012,الأصيل,Altayyar
تجزئة وتوزيع السلع الكمالية,4080,سناد القابضة,Sinad Holding
تجزئة وتوزيع السلع الكمالية,4180,مجموعة فتيحي,Fitaihi
تجزئة وتوزيع السلع الكمالية,4190,جرير,Jarir
تجزئة وتوزيع السلع الكمالية,4191,أبو معطي,Alsaif Gallery
تجزئة وتوزيع السلع الكمالية,4192,السيف غاليري,Alsorayai
تجزئة وتوزيع السلع الكمالية,4193,نايس ون,نايس ون
تجزئة وتوزيع السلع الكمالية,4194,محطة البناء,محطة البناء
تجزئة وتوزيع السلع الكمالية,4240,سينومي ريتيل,Cenomi Retail
تجزئة وتوزيع السلع الكمالية,6018,الأندية للرياضة,الأندية للرياضة
غير مصنّف,2002,Petrochem,Petrochem
غير مصنّف,4010,Dur Hospitality,Dur Hospitality
غير مصنّف,8270,Buruj,Buruj
